pH,E_HOMO-3,E_HOMO-2,E_HOMO-1,E_HOMO,dx_HOMO-3,dx_HOMO-2,dx_HOMO-1,dx_HOMO,s_HOMO-3,s_HOMO-2,s_HOMO-1,s_HOMO
-4.004200868,-1.23019,-0.66403,-0.55326,-0.48799,-0.435784638,1.06792789,-0.447248423,-0.34300937,1,1,1,0
-3.964000728,-1.23054,-0.66758,-0.55506,-0.48834,-0.432581246,1.13741535,-0.524703168,-0.339576288,1,1,1,0
-3.923800587,-1.23089,-0.6713,-0.5568,-0.48868,-0.429336528,1.204759702,-0.5996833,-0.336094303,1,1,1,0
-3.883600446,-1.23123,-0.67519,-0.55849,-0.48902,-0.426080144,1.269529062,-0.671887186,-0.332640598,1,1,1,0
-3.843400305,-1.23157,-0.67925,-0.56012,-0.48936,-0.42277855,1.331329556,-0.74135539,-0.329124399,1,1,1,0
-3.803200164,-1.23191,-0.68348,-0.56169,-0.48969,-0.419420013,1.390137555,-0.807408877,-0.325603698,1,1,1,0
-3.763000023,-1.23224,-0.6879,-0.5632,-0.49003,-0.416011876,1.445978335,-0.870306629,-0.322052118,1,1,1,0
-3.722799882,-1.23257,-0.69249,-0.56466,-0.49035,-0.412557859,1.498411224,-0.929872568,-0.318478141,1,1,1,0
-3.682599741,-1.2329,-0.69727,-0.56606,-0.49068,-0.409060726,1.547561053,-0.985956093,-0.314851293,1,1,1,0
-3.6423996,-1.23322,-0.70223,-0.56741,-0.49101,-0.40548444,1.593357863,-1.038576271,-0.311205033,1,1,1,0
-3.602199459,-1.23354,-0.70738,-0.56871,-0.49133,-0.401841285,1.590484235,-1.099381102,-0.308096886,1,1,1,0
-3.561999318,-1.23385,-0.71271,-0.56995,-0.49165,-0.398111448,1.63257145,-1.143078806,-0.304388569,1,1,1,0
-3.521799177,-1.23416,-0.71823,-0.57115,-0.49197,-0.394314815,1.6714215,-1.183782296,-0.300606757,1,1,1,0
-3.481600926,-1.23447,-0.72395,-0.5723,-0.49228,-0.390400725,1.706935219,-1.221699689,-0.29679443,1,1,1,0
-3.441400785,-1.23477,-0.72985,-0.5734,-0.4926,-0.386439908,1.739300138,-1.256943823,-0.292946343,1,1,1,0
-3.401200644,-1.23508,-0.73595,-0.57446,-0.49291,-0.382385736,1.768593076,-1.289702031,-0.289021677,1,1,1,0
-3.361000503,-1.23537,-0.74224,-0.57548,-0.49323,-0.378220402,1.794973869,-1.319876129,-0.285065034,1,1,1,0
-3.320800362,-1.23567,-0.74872,-0.57646,-0.49354,-0.373962732,1.818428361,-1.347798229,-0.281052792,1,1,1,0
-3.280600221,-1.23596,-0.7554,-0.57741,-0.49385,-0.369623849,1.83910094,-1.373574786,-0.276979548,1,1,1,0
-3.24040008,-1.23626,-0.76227,-0.57832,-0.49417,-0.365189608,1.857288148,-1.397226432,-0.272859876,1,1,1,0
-3.200199939,-1.23655,-0.76934,-0.5792,-0.49448,-0.360658584,1.87279614,-1.419020006,-0.268647829,1,1,1,0
-3.159999798,-1.23684,-0.7766,-0.58005,-0.49479,-0.356006604,1.886027198,-1.438982447,-0.264412669,1,1,1,0
-3.119799657,-1.23712,-0.78406,-0.58087,-0.49511,-0.351291303,1.896936932,-1.457250686,-0.260098158,1,1,1,0
-3.079599516,-1.23741,-0.79172,-0.58167,-0.49542,-0.34646255,1.905725325,-1.474054866,-0.255709201,1,1,1,0
-3.039399375,-1.2377,-0.79957,-0.58244,-0.49574,-0.341530158,1.91234359,-1.489348532,-0.251245235,1,1,1,0
-2.999199234,-1.23799,-0.80762,-0.58319,-0.49606,-0.336472975,1.91705065,-1.503309257,-0.246745115,1,1,1,0
-2.958999093,-1.23828,-0.81586,-0.58391,-0.49638,-0.331304123,1.919913152,-1.516071169,-0.242132622,1,1,1,0
-2.918800842,-1.23857,-0.82429,-0.58462,-0.49671,-0.326012312,1.9208556,-1.527610385,-0.237475078,1,1,1,0
-2.878600701,-1.23886,-0.83291,-0.58532,-0.49704,-0.320550372,1.920298459,-1.538155404,-0.232754588,1,1,1,0
-2.83840056,-1.23915,-0.84172,-0.58599,-0.49737,-0.314985647,1.918075933,-1.547571265,-0.227968428,1,1,1,0
-2.798200419,-1.23945,-0.85072,-0.58666,-0.49771,-0.309223987,1.914305853,-1.556165836,-0.223132644,1,1,1,0
-2.758000278,-1.23975,-0.85989,-0.58731,-0.49806,-0.303343691,1.909164299,-1.563865907,-0.218205876,1,1,1,0
-2.717800137,-1.24005,-0.86924,-0.58796,-0.49841,-0.297241779,1.902636779,-1.570761524,-0.21322592,1,1,1,0
-2.677599996,-1.24036,-0.87875,-0.5886,-0.49877,-0.290954734,1.894888683,-1.576939235,-0.208205055,1,1,1,0
-2.637399855,-1.24067,-0.88842,-0.58923,-0.49914,-0.284441586,1.885955865,-1.582389778,-0.20313993,1,1,1,0
-2.597199714,-1.24099,-0.89823,-0.58986,-0.49952,-0.277661748,1.875857759,-1.587119552,-0.19805172,1,1,1,0
-2.556999574,-1.24131,-0.90818,-0.5905,-0.49991,-0.27071,1.86909,-1.59756,-0.19251,1,1,1,0
-2.516799433,-1.24164,-0.91825,-0.59113,-0.50032,-0.26345,1.8566,-1.60122,-0.1874,1,1,1,0
-2.476599292,-1.24198,-0.92842,-0.59177,-0.50074,-0.25591,1.84317,-1.60426,-0.18228,1,1,1,0
-2.436399151,-1.24232,-0.93867,-0.59242,-0.50118,-0.24806,1.82908,-1.60673,-0.1772,1,1,1,0
-2.396200899,-1.24268,-0.94897,-0.59309,-0.50163,-0.23989,1.81432,-1.60883,-0.17215,1,1,1,0
