aH-fold_1,aH-fold_2,aH-fold_3,aH-fold_4,aH-fold_5,sH-fold_1,sH-fold_2,sH-fold_3,sH-fold_4,sH-fold_5,aC-fold_1,aC-fold_2,aC-fold_3,aC-fold_4,aC-fold_5,sC-fold_1,sC-fold_2,sC-fold_3,sC-fold_4,sC-fold_5,aN-fold_1,aN-fold_2,aN-fold_3,aN-fold_4,aN-fold_5,sN-fold_1,sN-fold_2,sN-fold_3,sN-fold_4,sN-fold_5
0.45873833,0.4483586,0.44052964,0.46046844,0.45574132,1.175651,1.1588229,1.1489509,1.2198477,1.1409059,3.0982556,3.027824,3.0972621,3.2248657,3.1245666,1.0820785,1.0792868,1.0740718,1.0669775,1.094398,8.447786,8.48052,8.4962015,8.60892,8.433667,4.181637,4.1651416,4.257059,4.2068887,4.1891613
0.46408737,0.45280188,0.44765204,0.46076208,0.4588242,1.1698648,1.1519055,1.1419886,1.2168809,1.134032,3.081337,3.0206456,3.089609,3.2125115,3.0921738,1.0649754,1.0610471,1.0576054,1.0541272,1.0764405,8.471511,8.510936,8.523923,8.635462,8.464054,4.236261,4.2362037,4.307144,4.262009,4.2450256
0.469786,0.4569918,0.4549955,0.46103317,0.4628094,1.1653183,1.1480758,1.1379496,1.2194612,1.130065,3.0642672,3.0151334,3.0809362,3.1939795,3.0565507,1.0460624,1.0416597,1.0392783,1.0394168,1.0566448,8.493714,8.539888,8.546777,8.660481,8.4926,4.2851405,4.3013105,4.349454,4.31151,4.2943745
0.47289896,0.4608158,0.46119368,0.46194816,0.46620086,1.1624261,1.146234,1.1358708,1.2242012,1.1284833,3.0477035,3.0085592,3.069956,3.1734068,3.024411,1.0308694,1.025965,1.024312,1.027086,1.0398333,8.512982,8.564778,8.565424,8.683459,8.51837,4.3289213,4.363646,4.386321,4.3563433,4.3377314
0.47371447,0.46155608,0.46173292,0.4640754,0.4702573,1.1628392,1.148567,1.1389003,1.2333002,1.1305223,3.0329375,3.0028079,3.0512397,3.1517425,2.9951916,1.0180659,1.0134248,1.012254,1.0172948,1.0257049,8.527269,8.583715,8.579271,8.700196,8.537555,4.364955,4.417776,4.4162846,4.392281,4.37465
0.47445977,0.45969564,0.46137315,0.465618,0.47023395,1.1653334,1.151978,1.14315,1.243765,1.1332387,3.0111208,2.9956002,3.026639,3.1224334,2.966669,1.004361,1.000313,0.9995498,1.0070766,1.0110006,8.5361395,8.596188,8.587706,8.708606,8.549369,4.398816,4.47199,4.4459324,4.4262195,4.4127517
0.47512174,0.45977312,0.46393436,0.46541262,0.4702805,1.1658572,1.1523767,1.1466372,1.2531643,1.1334685,2.9876678,2.9882894,2.9978516,3.0911562,2.9410028,0.9896889,0.98642945,0.98587584,0.9962406,0.9962263,8.546488,8.609662,8.5972395,8.717042,8.5622835,4.4379463,4.5273385,4.4794893,4.4645658,4.457146
0.47910196,0.4608311,0.46719718,0.46505195,0.47050905,1.1631783,1.1480124,1.149215,1.2603469,1.1320873,2.9626331,2.9733639,2.955987,3.0509322,2.913976,0.97265166,0.97105896,0.9704178,0.98393804,0.97889376,8.551547,8.615575,8.595125,8.715964,8.56539,4.4898005,4.5913706,4.519267,4.518327,4.51116
0.48220092,0.46357137,0.47295696,0.4662756,0.4749549,1.1586641,1.1391554,1.1465348,1.2594285,1.1258867,2.9348223,2.953896,2.9008386,3.0023882,2.8830836,0.95567024,0.9558141,0.9548904,0.971882,0.9612755,8.550962,8.613883,8.586996,8.707853,8.560376,4.5242066,4.6338673,4.548379,4.5568113,4.5515547
0.47898358,0.45999062,0.46974796,0.4663511,0.474864,1.1533989,1.1266317,1.1366749,1.2491956,1.1134433,2.896632,2.9194353,2.8320725,2.9385402,2.837165,0.94274044,0.94466394,0.94323814,0.9630558,0.94903696,8.549444,8.610442,8.576834,8.696611,8.551955,4.554511,4.674899,4.569854,4.5873322,4.581022
